# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Aug 12 18:25:49 BST 2021 [seed=1628789148168]
# B.1.1.33.dataset.aln.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
1435000	-47310.80641556927	-469.26297931441457	-46841.543436254855	0.5796033664612572	2019.9996316062163	25.273889161408107	73.80459723982767	12.419722351937024	6.9032630874860565	6.795215540875053	0.2926068067887855	0.18608225290043884	0.19515284064302832	0.32615809966774717	0.01912672983597849	0.13868656144025596	1.0046915884830492	0.9906158816095024	0.001028897769646602	0.001028897769646601	-46841.543436254855	0.0	-452.7426871482001
1436000	-47313.256492580185	-465.09548370495116	-46848.161008875235	0.5830220287238036	2019.9962129439537	25.32417714901125	81.91112361356444	12.702441578943283	6.097812449368537	6.795215540875053	0.2916656461271932	0.17816750570158296	0.19536928690842192	0.3347975612628017	0.06416998833649498	0.14117252376020523	1.0174728272899753	0.9650508392843409	0.0010074524493621855	0.001007452449362186	-46848.161008875235	0.0	-448.2863401072007
1437000	-47312.404878817935	-471.8540270527737	-46840.55085176516	0.5946829976647362	2019.984551975013	25.970166723153707	84.09392539480923	12.492201855690988	6.836576960901302	4.795772587993666	0.2916656461271932	0.18514150458906123	0.1934280115227786	0.3297648377609667	0.08915449771461016	0.054342272151035126	1.0552467976133821	0.8894953188300987	0.0010048308442989757	0.001004830844298975	-46840.55085176516	0.0	-455.68880886622367
1438000	-47301.91207325502	-463.13951458709454	-46838.77255866793	0.5660326392166	2020.0132023334609	25.636573366789005	81.9836689766735	12.925643439034276	5.446244626351997	4.904176171570461	0.2916656461271932	0.18514150458906123	0.1934280115227786	0.3297648377609667	0.08915449771461016	0.10630106387666975	1.0148082440713513	0.9703805404026804	0.001019181137176624	0.001019181137176625	-46838.77255866793	0.0	-446.7767395799908
1439000	-47304.69216005656	-474.17341325815033	-46830.518746798414	0.5860040280910679	2019.9932309445865	25.4604320534789	89.2057426539284	12.720881490568322	6.0402703592982405	5.5368325359202615	0.2916656461271932	0.18171531055001933	0.1968542055618205	0.3297648377609667	0.01314577904177902	0.014166285313729357	1.017102977122824	0.9657906138335868	0.001014619330353694	0.0010146193303536956	-46830.518746798414	0.0	-457.94239842376857
1440000	-47305.52784330017	-459.4099092019844	-46846.11793409819	0.6062481737688687	2019.9729867989088	25.04944175957476	93.31616784666569	13.274939436996886	7.029610503789076	5.872756244939547	0.28773830722925714	0.18171531055001933	0.20055512120081442	0.32999126101990883	0.05864078250855011	0.019162193640458566	1.0541990197942717	0.8915910847177062	0.0010005202123995484	0.0010005202123995489	-46846.11793409819	0.0	-442.15542067123766
1441000	-47296.855785152766	-463.2100167607845	-46833.64576839198	0.5499638904332819	2020.0292710822443	24.78542079016585	102.9933581566731	13.390267657694764	6.126768327428103	6.6839928002755	0.29102222120849175	0.18011197789844707	0.19799346821114464	0.3308723326819163	0.0693536665894305	0.03499109507163138	1.0417824766804236	0.9164266624760766	0.0010095940262951316	0.0010095940262951307	-46833.64576839198	0.0	-445.7049120638826
1442000	-47310.42817916823	-471.38327365212234	-46839.04490551611	0.6067734824951752	2019.9724614901825	25.369281471151286	67.37511741507473	11.921574818866937	5.843643200349403	6.4601046843271615	0.29102222120849175	0.18011197789844707	0.19385860845473754	0.3350071924383234	0.11092905552910401	0.03859625129686428	1.0469825013579455	0.9060255696727182	0.0010098339923620948	0.001009833992362096	-46839.04490551611	0.0	-455.8054106017192
1443000	-47311.38190274772	-483.85230766785395	-46827.52959507987	0.5664107767009894	2020.0128241959767	25.998678452048903	50.80918851808658	10.913036294736091	5.843643200349403	7.0080312913317755	0.29208369304021653	0.18150402904783125	0.19385860845473754	0.3325536694572144	0.030569587100126337	0.09937914659596514	1.0330822726058602	0.9338288164271654	0.0010026612534178151	0.0010026612534178147	-46827.52959507987	0.0	-469.4756997261411
1444000	-47310.79913224993	-475.6403172811994	-46835.15881496873	0.667367377158861	2019.9118675955187	25.93331319686873	49.08819114942105	10.866146034656095	6.170073425821921	7.824146303356351	0.29208369304021653	0.18150402904783125	0.19385860845473754	0.3325536694572144	0.09653476667441016	0.12243418032407292	1.0247833270233995	0.9504283728766422	0.0010045981343785207	0.0010045981343785207	-46835.15881496873	0.0	-460.9042815539637
